,x,y,cluster,id,code,size,tag,title,count,priority
0,4.9083996,6.2328925,12,0, polic,0.25,Correctional Tech Integration,<i><br>Challenges and Solutions in Integrating<br>Technology in Correctional Institutions</i>,18.0,Regular
1,4.935892,6.069894,-1,1,other,0.25,Noise Point,Noise Point,0.0,Regular
2,7.332235,4.509981,18,2, polic,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
3,7.310742,4.751136,18,3, polic,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
4,4.9900904,6.301628,12,4,other,0.25,Correctional Tech Integration,<i><br>Challenges and Solutions in Integrating<br>Technology in Correctional Institutions</i>,18.0,Regular
5,7.242467,4.5085,18,5,tech,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
6,7.053267,4.2279797,18,6,tech,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
7,7.458039,5.1733074,-1,7, polic,0.25,Noise Point,Noise Point,0.0,Regular
8,4.6606884,9.171366,25,8,other,0.25,Aerial Surveillance,"<i><br>Unmanned Aerial Systems in Surveillance<br>and Perimeter Monitoring: Development,<br>Validation, and Community Concerns</i>",27.0,Priority
9,7.2696466,4.5446057,18,9,other,0.25,Technology Management Challenges,<i><br>Challenges and Strategies in Technology<br>Management for Agencies</i>,17.0,Regular
10,6.975682,4.780883,17,10,tech,0.25,Certification Challenges,<i><br>Challenges and Solutions for Small Law<br>Enforcement Agencies in Meeting<br>Certification Standards and Implementing<br>New Technologies</i>,12.0,Regular
11,8.96293,4.5105395,44,11,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
12,9.148358,5.1562085,44,12,tech,0.25,Court Technology Challenges,<i><br>Challenges and Solutions for Integrating<br>Modern Technology in the Court System</i>,52.0,Regular
